"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.557003605E0,-1.372471750E-1,8.581256866E-2,8.047304153E-1,8.208481135E-1
3.575564855E0,-2.249459624E-1,-2.514058352E-2,6.628227234E-1,7.004046670E-1
3.594173918E0,-2.382498384E-1,-1.292425394E-2,4.839525223E-1,5.395739668E-1
3.612736314E0,-1.464712173E-1,2.058631182E-2,3.214855194E-1,3.538792914E-1
3.631296470E0,-5.219212174E-2,-5.987012386E-2,-7.569026947E-2,1.097153872E-1
3.649809908E0,9.263691306E-2,-2.605338693E-1,-3.232088089E-1,4.253509479E-1
3.668371210E0,1.438176334E-1,-5.119796395E-1,5.075454712E-2,5.342122116E-1
3.686980168E0,3.429846168E-1,-6.923925877E-1,3.929033279E-1,8.668442582E-1
3.705542616E0,4.921717346E-1,-6.027810574E-1,3.230237961E-1,8.425689243E-1
3.724102772E0,6.518086195E-1,-4.715004861E-1,-5.418872833E-2,8.062900242E-1
3.742616262E0,6.163408756E-1,-3.640438020E-1,-3.945436478E-1,8.173546689E-1
3.761177512E0,4.312956631E-1,-2.095710635E-1,-4.580640793E-1,6.631430316E-1
3.779738814E0,4.015876651E-1,-1.509032845E-1,-3.935537338E-1,5.821760863E-1
3.798347772E0,3.948394060E-1,1.959317923E-2,-6.188364029E-1,7.343299958E-1
3.816861314E0,5.809550881E-1,2.028655410E-1,-6.825237274E-1,9.189678344E-1
3.835422616E0,6.013590097E-1,2.230277658E-1,-8.436784744E-1,1.059795929E0
3.854032720E0,5.112143159E-1,1.605920792E-1,-1.185445786E0,1.300927209E0
3.872592876E0,4.749585688E-1,3.703695536E-2,-1.630496025E0,1.698668498E0
3.891154178E0,4.032991529E-1,-2.337038517E-2,-1.745532990E0,1.791670114E0
3.909667668E0,4.856084585E-1,1.230299473E-2,-1.529264450E0,1.604561216E0
