"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.902496656E0,2.470303774E-1,-1.167537451E0,-8.169345856E-1,1.446219148E0
2.921121188E0,2.401648164E-1,-9.132317305E-1,-1.162145615E0,1.497415695E0
2.939617333E0,6.538262963E-2,-7.053840756E-1,-1.292588234E0,1.473983014E0
2.958177698E0,5.191335082E-2,-6.746272445E-1,-1.156183243E0,1.339618082E0
2.976738063E0,4.097610712E-3,-6.473619938E-1,-1.066269875E0,1.247407627E0
2.995298427E0,-9.235960245E-2,-6.513674259E-1,-1.353488922E0,1.504906004E0
3.013858740E0,-1.454455853E-1,-6.034150720E-1,-1.583117485E0,1.700448511E0
3.032419104E0,-3.218251467E-1,-3.721336126E-1,-1.400804520E0,1.484691265E0
3.050979469E0,-3.136550784E-1,-2.309352756E-1,-1.070077896E0,1.138761307E0
3.069539833E0,-2.609341145E-1,-1.795377731E-1,-7.865772247E-1,8.479529200E-1
3.088100198E0,-2.609218657E-1,-1.468551755E-1,-5.005807877E-1,5.832904830E-1
3.106660511E0,-3.620870113E-1,1.071935892E-2,-2.515602112E-2,3.631180715E-1
3.125268583E0,-4.686813354E-1,2.321394086E-1,3.791370392E-1,6.459843603E-1
3.143781240E0,-4.249472320E-1,4.155545235E-1,4.974212646E-1,7.750442739E-1
3.162344677E0,-3.705411553E-1,4.910200238E-1,2.531013489E-1,6.651779494E-1
3.180901969E0,-3.295643926E-1,5.604130626E-1,1.448793411E-1,6.660822119E-1
3.199462281E0,-3.241906166E-1,7.003176808E-1,3.172540665E-1,8.343827375E-1
3.218022646E0,-2.442172170E-1,7.578971982E-1,6.853914261E-1,1.050624395E0
3.236583011E0,-2.206588387E-1,7.013940811E-1,7.703475952E-1,1.064931640E0
3.255143375E0,-3.226780295E-1,6.949777603E-1,3.553619385E-1,8.446285014E-1
3.273703740E0,-3.317761719E-1,5.534653664E-1,-3.442573547E-2,6.462077617E-1
3.292264052E0,-3.159686029E-1,4.546473026E-1,2.626419067E-2,5.542834433E-1
3.310824417E0,-3.340204358E-1,3.632614017E-1,6.065177917E-1,7.819158070E-1
3.329384781E0,-3.739878237E-1,2.897388935E-1,1.011740685E0,1.116886177E0
3.347945146E0,-2.479659915E-1,2.169085145E-1,6.267318726E-1,7.080460979E-1
3.366505511E0,5.595819652E-2,5.546367168E-2,2.620935440E-1,2.736796749E-1
3.385065823E0,3.839370012E-1,-9.007340670E-2,4.207830429E-1,5.766968083E-1
3.403629261E0,2.965652347E-1,-2.717441320E-1,9.382667542E-1,1.020852738E0
3.422186552E0,7.044464350E-2,-5.276353359E-1,1.424385071E0,1.520603277E0
3.440746917E0,-5.995560437E-2,-6.859120131E-1,1.521597862E0,1.670128743E0
3.459307281E0,-1.516076028E-1,-6.206948161E-1,1.082092285E0,1.256650561E0
3.477867594E0,-1.360864639E-1,-5.504739881E-1,2.316722870E-1,6.125464764E-1
3.496427958E0,-6.298400462E-2,-5.186947584E-1,-4.046955109E-1,6.609006686E-1
3.514988323E0,9.511871636E-2,-5.936287045E-1,-4.087886810E-1,7.270149894E-1
3.533548688E0,1.891509891E-1,-6.687649488E-1,-2.341794968E-1,7.333925894E-1
3.552109000E0,2.621524334E-1,-7.453485727E-1,-2.082509995E-1,8.170904919E-1
3.570669365E0,3.730069995E-1,-6.909534931E-1,-3.309240341E-1,8.520925230E-1
3.589229729E0,5.565355420E-1,-5.594084263E-1,-3.995456696E-1,8.844808302E-1
3.607790094E0,6.376423836E-1,-5.249161720E-1,-3.923492432E-1,9.143646568E-1
